City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,hanting,36.7708,119.2108,13.82,55,100,6.45,CN,1745434167
172,conde,-7.2597,-34.9075,27.7,78,75,3.6,BR,1745434168
173,taltal,-25.4,-70.4833,19.12,70,35,1.16,CL,1745434169
174,puerto san jose,13.9256,-90.8244,34.43,55,37,4.96,GT,1745434010
175,port mathurin,-19.6833,63.4167,26.92,75,20,6.64,MU,1745434172
176,pama,11.2497,0.7075,36.68,25,100,1.08,BF,1745434173
177,muscat,23.6139,58.5922,31.28,31,0,2.2,OM,1745434174
178,seguela,7.9611,-6.6731,27.86,66,100,0.26,CI,1745434175
179,invercargill,-46.4,168.35,1.68,96,35,1.79,NZ,1745434176
180,bardai,11.65,7.2333,32.45,12,13,3.98,NG,1745434177
181,axim,4.8699,-2.2405,27.87,81,100,2.84,GH,1745434178
182,carnarvon,-24.8667,113.6333,23.39,76,100,10.55,AU,1745434180
183,mhamid,29.82,-5.72,30.9,13,64,3.69,MA,1745434181
184,dunedin,-45.8742,170.5036,5.77,84,5,2.26,NZ,1745433980
185,yellapur,14.9667,74.7167,24.02,87,100,1.75,IN,1745434183
186,tra mhor,52.1624,-7.1524,11.72,86,100,0.45,IE,1745434184
187,klaksvik,62.2266,-6.589,7.55,92,100,5.87,FO,1745434187
188,inari,68.906,27.0288,-5.12,87,42,1.73,FI,1745434188
189,leninskoye,41.7589,69.3864,12.33,54,6,2.73,KZ,1745434189
190,mar del plata,-38.0023,-57.5575,23.01,66,20,3.09,AR,1745433506
191,tsumeb,-19.2333,17.7167,22.03,50,73,1.28,NA,1745434191
192,puerto baquerizo moreno,-0.9,-89.6,27.55,78,75,4.12,EC,1745433942
193,hsinchu,24.8036,120.9686,22.16,94,100,0.45,TW,1745434194
194,dongola,19.1667,30.4833,35.75,11,6,3.51,SD,1745434195
195,oranjemund,-28.55,16.4333,15.75,87,0,5.08,NA,1745434196
196,mount isa,-20.7333,139.5,13.87,72,0,3.6,AU,1745434197
197,chipinge,-20.1883,32.6236,16.94,93,35,2.92,ZW,1745434198
198,olonkinbyen,70.9221,-8.7187,-4.72,68,99,5.66,SJ,1745434199
199,mazar-e sharif,36.709,67.1109,20.93,38,16,1.71,AF,1745434201
200,ivanteyevka,55.9711,37.9208,12.89,100,100,0.45,RU,1745434202
201,carutapera,-1.195,-46.02,23.23,98,100,1.66,BR,1745434203
202,lospalos,-8.5186,127.0025,21.96,87,100,2.34,TL,1745434204
203,manokwari,-0.8667,134.0833,25.73,83,100,1.42,ID,1745434205
204,xudat,41.631,48.681,14.33,81,85,0.95,AZ,1745434206
205,barra de santo antonio,-9.4047,-35.5072,29.08,63,12,3.97,BR,1745434208
206,yamada,39.4667,141.95,9.22,94,100,3.64,JP,1745434209
207,hithadhoo,-0.6,73.0833,28.74,75,98,5.85,MV,1745434210
208,ust-nera,64.5667,143.2,-9.79,95,100,2.62,RU,1745434212
209,quebo,11.3333,-14.9333,28.99,46,1,4.69,GW,1745434213
210,koyulhisar,40.3025,37.8311,10.52,83,23,1.08,TR,1745434215
211,nsanje,-16.92,35.262,22.19,83,5,1.43,MW,1745434217
212,fale old settlement,-9.3852,-171.2468,28.57,73,26,1.4,TK,1745434218
213,greymouth,-42.4667,171.2,10.08,94,99,1.74,NZ,1745434219
214,dickinson,29.4608,-95.0513,23.97,92,75,1.79,US,1745434220
215,turan,16.0678,108.2208,25.99,89,20,1.54,VN,1745434222
216,tanjung selor,2.8372,117.3642,23.32,98,100,0.59,ID,1745434223
217,massawa,15.6097,39.45,30.02,60,62,0.98,ER,1745434224
